Line Number,Text,Season,Episode,Episode Name
1,Mr. Soprano?,1,1,Pilot
2,Yeah.,1,1,Pilot
3,Have a seat.,1,1,Pilot
4,"My understanding from Dr. Cusamano,",1,1,Pilot
5,your physician...,1,1,Pilot
6,...is that you collapsed.,1,1,Pilot
7,Possibly a panic attack?,1,1,Pilot
8,You were unable to breathe?,1,1,Pilot
9,They said it was a panic attack.,1,1,Pilot
10,The blood and neurological,1,1,Pilot
11,work came back negative.,1,1,Pilot
12,And they sent me here.,1,1,Pilot
13,You don't agree that,1,1,Pilot
14,you had a panic attack?,1,1,Pilot
15,How are you feeling now?,1,1,Pilot
16,Good.,1,1,Pilot
17,Fine. Back at work.,1,1,Pilot
18,What line of work are you in?,1,1,Pilot
19,Waste management consultant.,1,1,Pilot
20,It's impossible for me to,1,1,Pilot
21,talk to a psychiatrist.,1,1,Pilot
22,Any thoughts at all,1,1,Pilot
23,on why you blacked out?,1,1,Pilot
24,"I don't know. Stress, maybe.",1,1,Pilot
25,About what?,1,1,Pilot
26,I don't know.,1,1,Pilot
27,"The morning I got sick,",1,1,Pilot
28,I'd been thinking.,1,1,Pilot
29,It's good to be in something,1,1,Pilot
30,from the ground floor.,1,1,Pilot
31,"And I came too late for that, I know.",1,1,Pilot
32,"But lately, I'm getting the feeling",1,1,Pilot
33,that I came in at the end.,1,1,Pilot
34,The best is over.,1,1,Pilot
35,"Many Americans, I think,",1,1,Pilot
36,feel that way.,1,1,Pilot
37,I think about my father.,1,1,Pilot
38,He never reached the heights like me.,1,1,Pilot
39,In a lot of ways he had it better.,1,1,Pilot
40,"He had his people, they had",1,1,Pilot
41,"their standards, they had pride.",1,1,Pilot
42,"Today, what do we got?",1,1,Pilot
43,Did you have these feelings of loss,1,1,Pilot
44,more acutely before you collapsed?,1,1,Pilot
45,I don't know.,1,1,Pilot
46,"A couple months before, these",1,1,Pilot
47,two ducks landed in my pool.,1,1,Pilot
48,"It was amazing. They're from Canada,",1,1,Pilot
49,and it was mating season.,1,1,Pilot
50,They had some ducklings.,1,1,Pilot
51,"Come on, get some bread.",1,1,Pilot
52,My daughter's friend was there,1,1,Pilot
53,to drive her to school.,1,1,Pilot
54,"Meadow, your father with those ducks.",1,1,Pilot
55,The yard smells like duck poo.,1,1,Pilot
56,You gotta have more than,1,1,Pilot
57,just juice for breakfast.,1,1,Pilot
58,You need brain food for school.,1,1,Pilot
59,"Happy birthday, handsome.",1,1,Pilot
60,Thirteen.,1,1,Pilot
61,He doesn't act it.,1,1,Pilot
62,The male and female duck made,1,1,Pilot
63,a home in your pool and did it?,1,1,Pilot
64,Get out of here! You're so gross!,1,1,Pilot
65,You want some of,1,1,Pilot
66,last night's sfogliatelle?,1,1,Pilot
67,Get out of here with that fat.,1,1,Pilot
68,One bite.,1,1,Pilot
69,"How do you stay skinny,",1,1,Pilot
70,Mrs. Soprano?,1,1,Pilot
71,"Him, with those ducks.",1,1,Pilot
72,"If you don't like that ramp, I'll",1,1,Pilot
73,build another. Maybe it's the wood.,1,1,Pilot
74,"Look, they're trying to fly.",1,1,Pilot
75,"National Geographic, Dad.",1,1,Pilot
76,"Yeah, super.",1,1,Pilot
77,You showed us yesterday.,1,1,Pilot
78,This is great!,1,1,Pilot
79,Now my wife feels,1,1,Pilot
80,this friend is a bad influence.,1,1,Pilot
81,It's so cool you're coming to Aspen,1,1,Pilot
82,with my family at Christmas.,1,1,Pilot
83,"Last year I saw Skeet Ulrich,",1,1,Pilot
84,as close as from where you're sitting.,1,1,Pilot
85,"Miss Meadow, we made a deal.",1,1,Pilot
86,Keep your grades up and your curfew,1,1,Pilot
87,"until Christmas, then you get to go.",1,1,Pilot
88,I know that.,1,1,Pilot
89,Good morning.,1,1,Pilot
90,"Hey, Mr. Soprano.",1,1,Pilot
91,"We're late, Dad.",1,1,Pilot
92,Happy birthday.,1,1,Pilot
93,"Thanks, Dad.",1,1,Pilot
94,You're gonna be home tonight for,1,1,Pilot
95,"Anthony Jr.'s birthday party, right?",1,1,Pilot
96,"Birdman, hello!",1,1,Pilot
97,"Yeah, yeah.",1,1,Pilot
98,I'll get home early from work.,1,1,Pilot
99,I'm not talking about work.,1,1,Pilot
100,This won't work.,1,1,Pilot
101,I can't talk about my personal life.,1,1,Pilot
102,Finish telling me,1,1,Pilot
103,about the day you collapsed.,1,1,Pilot
104,I drove to work with my nephew.,1,1,Pilot
105,He's learning the business.,1,1,Pilot
106,He's an example of what,1,1,Pilot
107,I was talking about before.,1,1,Pilot
108,Did you call Triborough Towers,1,1,Pilot
109,about the hauling contract?,1,1,Pilot
110,I got home too late.,1,1,Pilot
111,I didn't want to wake the man up.,1,1,Pilot
112,Did you get up early and call?,1,1,Pilot
113,He's always in his office by 6.,1,1,Pilot
114,I was nauseous. My mother told me,1,1,Pilot
115,I shouldn't even come in today.,1,1,Pilot
116,"Bear in mind, this is a kid who",1,1,Pilot
117,"just bought himself a $60,000 Lexus.",1,1,Pilot
118,There's that guy Mahaffey.,1,1,Pilot
119,Get out.,1,1,Pilot
120,Right there.,1,1,Pilot
121,Next to the boo-boo in pink.,1,1,Pilot
122,Back up.,1,1,Pilot
123,My friend Mahaffey,1,1,Pilot
124,pulling his taffy. Hello.,1,1,Pilot
125,We saw this guy.,1,1,Pilot
126,There was an outstanding loan.,1,1,Pilot
127,One second.,1,1,Pilot
128,I don't know,1,1,Pilot
